cd_cvm;cnpj;empresa;ano;roe;roa;endividamento;liquidez_corrente;margem_operacional;caixa;crescimento_receita;crescimento_ativos;receita;ativo_total;lucro_liquido;patrimonio_liquido
026069;00.242.184/0001-04;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2022;12.826008333;3.98265868841;68.9485724241;3.28357460883;33.6550200997;938358000;144.193516936;13.69769254;951754000;3730975000;148592000;1158521000
026069;00.242.184/0001-04;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2023;13.2756666575;4.09977887011;69.1180942103;1.58845977958;33.4385036522;254405000;42.9956690489;6.74761959005;1360967000;3982727000;163283000;1229942000
026069;00.242.184/0001-04;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2024;13.3971565586;3.7874839375;71.729195513;2.13087550121;29.6184700864;210912000;29.7583997261;16.4366274666;1765969000;4637353000;175639000;1311017000
026069;00.242.184/0001-04;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2025;5.54528247708;1.38126858916;75.0911050093;2.55818556096;22.3803699311;239639000;6.89638379836;15.1694727574;1887757000;5340815000;73771000;1330338000
014818;00.272.185/0001-93;CIMS S.A.;2020;-713.515470969;-688.205844685;3.54717274033;21.0634573304;;19252;;;0;25767;-177330;24853
014818;00.272.185/0001-93;CIMS S.A.;2021;-553.920341394;-542.378405482;2.08368154215;41.922459893;;31358;;39.3177319828;0;35898;-194703;35150
014818;00.272.185/0001-93;CIMS S.A.;2022;-293.608944717;-289.28041997;1.47424825579;64.0793357934;;69462;;104.827566995;0;73529;-212705;72445
014818;00.272.185/0001-93;CIMS S.A.;2023;-2962.51646904;-2472.02066843;16.5567282322;4.96746347942;;7481;;-87.6293707245;0;9096;-224855;7590
011258;00.336.701/0001-04;TELEC BRASILEIRAS S.A. TELEBRAS;2020;-6.83899902076;-2.50296123033;63.4016436802;4.37437367924;-26.8848637486;143883000;;;266823000;4244013000;-106226000;1553239000
011258;00.336.701/0001-04;TELEC BRASILEIRAS S.A. TELEBRAS;2021;-8.86376312416;-3.09386019311;65.0954098189;4.50113064162;-23.4298256976;272839000;7.05711276764;-3.41561159214;285653000;4099054000;-126819000;1430758000
